ID;Код СМО в едином реестре ОМС;ОГРН;КПП;Полное наименование СМО;Краткое наименование СМО;Фактический адрес, заданный в строку;Фамилия руководителя;Имя руководителя;Отчество руководителя;Телефон (с кодом города);Факс (с кодом города);Телефон «горячей линии» СМО;Адрес электронной почты;Номер лицензии СМО;Дата выдачи лицензии СМО;Дата окончания действия лицензии СМО;Дата включения в реестр СМО;Дата исключения из реестра СМО
11;03102;1027806865481;032643001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЕСПУБЛИКЕ БУРЯТИЯ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В РЕСПУБЛИКЕ БУРЯТИЯ";РЕСПУБЛИКА БУРЯТИЯ,Г.УЛАН-УДЭ,ПРОФСОЮЗНАЯ,10;БАНДЕЕВ;БОРИС;ВАСИЛЬЕВИЧ;8-3012-440597, 8-800-2227062;8-3012-440297;8-800-2227062;BORIS.BANDEEV@KAPMED.RU, OMS_BURYATIYA@KAPMED.RU;ОС № 3676-01;16.11.2018;31.12.2099;01.01.2011;
12;04002;1027739449913;041143001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М"" В РЕСПУБЛИКЕ АЛТАЙ";"ФИЛИАЛ АО ""СГ ""СПАССКИЕ ВОРОТА-М"" В РЕСПУБЛИКЕ АЛТАЙ";РЕСПУБЛИКА АЛТАЙ, Г. ГОРНО-АЛТАЙСК, УЛ. ЧОРОС-ГУРКИНА, Д. 39/12;ЧИЧИНОВ;АЛЕКСАНДР;АНАТОЛЬЕВИЧ;8-38822-23377;8-38822-23377;8-800-7700790;SV-RA@MAIL.RU;ОС-2354-01;08.09.2015;31.12.2099;01.01.2011;
13;04004;1027806865481;041102001;"ФИЛИАЛ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЕСПУБЛИКЕ АЛТАЙ";"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЕСПУБЛИКЕ АЛТАЙ";РЕСПУБЛИКА АЛТАЙ, Г. ГОРНО-АЛТАЙСК, УЛ. ЧОРОС-ГУРКИНА, Д. 39/15;НЕШПОР;ВЯЧЕСЛАВ;АНАТОЛЬЕВИЧ;8-3882-222215;8-3882-222215;8-800-5509668;OMS.GORNO-ALTAYSK@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;03.08.2015;
14;05501;1027739099772;770501001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ МАХАЧКАЛЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г.МАХАЧКАЛЕ";РЕСПУБЛИКА ДАГЕСТАН, Г.МАХАЧКАЛА, ПР. ИМАМА ШАМИЛЯ, УГОЛ УЛ.ТАШКЕНТСКАЯ;ЗАЛБЕКОВ;ДАЛГАТ;МАГОМЕДСАИДОВИЧ;8-8722-671784;8-8722-671756;8-800-3330603;ZALBEKOVDM@MAKCM.RU;ОС №2226-01;23.01.2017;31.12.2099;01.01.2011;
15;06050;1027739099772;770501001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В Г. НАЗРАНИ.";"ФИЛИАЛ АО ""МАКС-М"" В Г. НАЗРАНИ";РЕСПУБЛИКА ИНГУШЕТИЯ Г. НАЗРАНЬ, УЛ. НАБЕРЕЖНАЯ, Д. 26;ДЗАУРОВ;ХАСАН;АХМЕТОВИЧ;8-8732-224029;8-8732-224027;8-800-5552003;DZAUROVKHA@MAKC.RU;ОС №2226-01;23.01.2017;11.08.2099;10.03.2011;
16;07004;1027806865481;072102001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКЕ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В КБР";КБР Г. НАЛЬЧИК УЛ. ЛЕРМОНТОВА Д. 25;БОЛОВ;АЛЕКСАНДР;РАМАЗАНОВИЧ;8-8662-427737;8-8662-424064;8-800-1008102;OMS.NALCHIK@KAPMED.RU, BOLOV.ALEKSANDR@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;07.08.2015;
17;07005;1025004642519;503501001;"КАБАРДИНО-БАЛКАРСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"КАБАРДИНО-БАЛКАРСКИЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА, Г. НАЛЬЧИК, УЛ.ЧЕРНЫШЕВСКОГО,Д. 212;ДЫШЕКОВА;РАМЕТА;МИХАЙЛОВНА;8-866-2426784, 8-866-2426784;8-849-3727916, 8-849-3727916;8-800-2009204;OFFICE@RESO-MED.COM, DRM@RESO-MED.COM;ОС№0879-01;29.08.2019;31.12.2099;17.08.2015;
18;08002;1177746612581;081643001;КАЛМЫЦКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;КФ ООО ВТБ МС;РЕСПУБЛИКА КАЛМЫКИЯ, Г. ЭЛИСТА, 3 МИКРОРАЙОН, ДОМ 20;БАДМАЕВ;ЭРДЕНИ;ЛИДЖИЕВИЧ;8-847-2235889;8-847-2235889;8-800-1008005;BADMAEVEL@VTBMS.RU;ОС №2890-01;14.09.2017;14.09.2099;15.04.2011;26.03.2020
19;08005;1027739008440;081643001;"КАЛМЫЦКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"КАЛМЫЦКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";РЕСПУБЛИКА КАЛМЫКИЯ, Г. ЭЛИСТА, 3 МИКРОРАЙОН, ДОМ 20;БАДМАЕВ;ЭРДЕНИ;ЛИДЖИЕВИЧ;8-847-2235889;8-847-2235889;8-800-1000702;BADMAEVEL@SOGAZ-MED/RUU;ОС № 3230-01;28.02.2019;28.02.2099;15.06.2018;
20;09001;1045207042528;775001001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М""";"ООО ""СК ""ИНГОССТРАХ-М""";Г. МОСКВА, УЛ. ПЯТНИЦКАЯ, Д. 12, СТР. 2;КУРБАТОВА;НАТАЛЬЯ;АНАТОЛЬЕВНА;8-495-2323491;8-495-2323491;8-800-1007755;E-MAIL: INGOS-M@INGOS.RU;С № 3837 77;14.09.2010;31.12.2099;30.08.2019;
21;09050;1027739099772;770501001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ ЧЕРКЕССКЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г. ЧЕРКЕССКЕ";КЧР, Г. ЧЕРКЕССК, УЛ. КРАСНООРМЕЙСКАЯ, 85;ГОЧИЯЕВ;БОРИС;ХАДЖИ-АХМАТОВИЧ;8-8782-208025;8-8782-208025;8-800-3336603;MCHERKESSK@MAKC.RU;ОС№2226-01;23.01.2017;23.01.2099;01.01.2011;
22;10001;1045207042528;100102001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г.ПЕТРОЗАВОДСК";"ФИЛИАЛ ООО ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г.ПЕТРОЗАВОДСК";РЕСПУБЛИКА КАРЕЛИЯ, Г. ПЕТРОЗАВОДСК, ПЛ.ЛИТЕЙНАЯ, Д.3;МЕДВЕДЕВА;СВЕТЛАНА;АЛЕКСАНДРОВНА;8-8142-330026;8-8142-330024;8-800-2508142;SVETLANA.MEDVEDEVA@KARELIA.INGOS.RU;ОС № 3837-01;10.08.2015;31.12.2099;01.04.2011;
23;10003;1025004642519;100102001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД"" КАРЕЛЬСКИЙ ФИЛИАЛ";"ООО ""СМК РЕСО-МЕД"" КАРЕЛЬСКИЙ ФИЛИАЛ";РЕСПУБЛИКА КАРЕЛИЯ, Г.ПЕТРОЗАВОДСК, НЕГЛИНСКАЯ НАБ., Д.15;ПАНТЕЛЕЕВ;ВЛАДИМИР;АНАТОЛЬЕВИЧ;8-8142-785404;8-8142-785401;8-800-2508142;RESOMED-KARELIA@MAIL.RU;ОС №0879-01;29.08.2019;29.08.2029;01.01.2011;
24;11001;1027739008440;110103001;"СЫКТЫВКАРСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"СЫКТЫВКАРСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";РЕСПУБЛИКА КОМИ,,Г.СЫКТЫВКАР,,УЛ.КУРАТОВА,Д.42;СЫЧЕВА;МАРИНА;НИКОЛАЕВНА;8-800-1000702;8-8212-391930;8-800-1000702;SKAR@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;15.04.2011;
25;11002;1027806865481;110143001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЕСПУБЛИКЕ КОМИ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В РЕСПУБЛИКЕ КОМИ";РЕСПУБЛИКА КОМИ,,Г.СЫКТЫВКАР,,УЛ.БАБУШКИНА,Д.19;ФОМИЧЕВА;НАТАЛЬЯ;ВАЛЕРЬЕВНА;8-8212-214510;8-8212-441801;8-800-1008102;OMS.SYKTYVKAR@KAPMED.RU;ОС № 3676-01;16.11.2018;31.12.2099;15.04.2011;
26;12001;1027739008440;121543001;"МАРИЙСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"МАРИЙСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";РОССИЙСКАЯ ФЕДЕРАЦИЯ, РЕСПУБЛИКА МАРИЙ ЭЛ, Г.ЙОШКАР-ОЛА,УЛ. УСПЕНСКАЯ, 17;ПОПОВА;СВЕТЛАНА;СЕРГЕЕВНА;8-8362-412321;8-8362-412321;8-800-1000702;MARIYSK@SOGAZ-MED.RU;ОС №3230-01;28.02.2019;31.12.2099;17.06.2011;
27;12002;1177746612581;121543001;МАРИЙСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;МАРИЙСКИЙ ФИЛИАЛ ООО ВТБ МС;РОССИЙСКАЯ ФЕДЕРАЦИЯ, РЕСПУБЛИКА МАРИЙ ЭЛ, Г.ЙОШКАР-ОЛА,УЛ. УСПЕНСКАЯ, 17;ПОПОВА;СВЕТЛАНА;СЕРГЕЕВНА;8-8362-223602;8-8362-223602;8-800-1008005;MARIYEL-MS@VTBMS.RU;ОС №2890-01;14.09.2017;31.12.2099;20.06.2011;27.03.2020
28;13006;1027739008440;132643001;"МОРДОВСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"МОРДОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";РЕСПУБЛИКА МОРДОВИЯ, Г. САРАНСК, УЛ. БОЛЬШЕВИСТСКАЯ, Д.60;СЕРЕБРЯКОВА;СВЕТЛАНА;НИКОЛАЕВНА;8-8342-240789;8-8342-240789;8-800-1000702;MORDOVIA@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;01.01.2012;
29;13009;1027806865481;132643001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЕСПУБЛИКЕ МОРДОВИЯ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В РЕСПУБЛИКЕ МОРДОВИЯ";РЕСПУБЛИКА МОРДОВИЯ, Г. САРАНСК, УЛ.КОММУНИСТИЧЕСКАЯ, Д.54;СОЛДАТОВА;ОЛЬГА;НИКОЛАЕВНА;8-8342-232818;8-8342-232708;8-800-1008102;OMS.SARANSK@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;01.01.2011;
30;14002;1021401046787;143501001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""САХАМЕДСТРАХ""";"АО ""СМК ""САХАМЕДСТРАХ""";РЕСПУБЛИКА САХА /ЯКУТИЯ/, Г.ЯКУТСК, УЛ. КУРАШОВА, 44А;ВАРФОЛОМЕЕВА;ГАЛИНА;ДИОНИСЬЕВНА;8-4112-444499;8-4112-325643;8-800-1001403;SMSMAIL@SAKHA.RU;ОС № 2873-01;09.11.2016;31.12.2099;28.04.2011;
31;14005;1027806865481;143543001;"ФИЛИАЛ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЕСПУБЛИКЕ САХА (ЯКУТИЯ)";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В РС(Я)";ГОРОД ЯКУТСК,УЛ. ГЛУХОЙ ПЕРЕУЛОК, ДОМ 2/1;АНДРЕЕВА;АЛЕКСАНДРА;НИКОЛАЕВНА;8-4112-335057;8-4112-335039;8-800-1008102;ANDREEVA.ALEKSANDRA@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;28.04.2011;
32;14007;1045207042528;770501001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М""";"ООО ""СК ""ИНГОССТРАХ-М""";Г. ЯКУТСК;КУРБАТОВА;НАТАЛЬЯ;АНАТОЛЬЕВНА;8-495-7295571;8-495-7295571;;INGOS-M@INGOS.RU;ОС №3837-001;10.08.2015;31.12.2099;30.08.2019;
33;15002;1027806865481;151502001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЕСПУБЛИКЕ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В РСО-АЛАНИЯ";РСО-АЛАНИЯ, Г. ВЛАДИКАВКАЗ, УЛ. ДЖАНАЕВА,42;КАЛУХОВА;АЛИНА;СЕРГОЕВНА;8-495-2878125, 8-8672-400030;8-495-2878126, 8-8672-280323;8-800-1008101;OMS.OSETIYA@KAPMED.RU, OMS.OSETIYA@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;01.01.2011;
34;16051;1041625409033;165701001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""АК БАРС-МЕД""";"ООО ""СК ""АК БАРС-МЕД""";РЕСПУБЛИКА ТАТАРСТАН, Г. КАЗАНЬ, УЛ. МЕРИДИАННАЯ, Д. 1, КОРПУС А, ОФИС 85;КАРИМОВ;ТАГИР;РАВИЛЕВИЧ;8-843-5249600;8-843-5249629;8-800-5000303;SECRETAR@AKBARSMED.RU;ОС № 3943-01;24.06.2019;31.12.2099;01.01.2011;
35;16052;1141690061391;165901001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЕ МЕДИЦИНСКОЕ ОБЩЕСТВО ""СПАСЕНИЕ""";"ООО ""СМО ""СПАСЕНИЕ""";РЕСПУБЛИКА ТАТАРСТАН, Г. КАЗАНЬ, УЛ. ХАДИ ТАКТАША, Д. 94, ЭТАЖ 3;ГЛУШКОВ;ГЕННАДИЙ;НИКОЛАЕВИЧ;8-843-5700717;8-843-5906833;8-800-1000717;OFFICE@SPASENIE-MED.RU;ОС № 3528-01;25.05.2020;31.12.2099;01.01.2011;
36;16053;1041608018726;164401001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ МЕДИЦИНСКАЯ ОРГАНИЗАЦИЯ ""ЧУЛПАН-МЕД""";"ООО СМО ""ЧУЛПАН-МЕД""";РЕСПУБЛИКА ТАТАРСТАН, Г. АЛЬМЕТЬЕВСК, УЛ. ПУШКИНА, Д. 66, ПОМ. 1;КАЛИМУЛЛИН;АНВАР;РАМИЛЕВИЧ;8-8553-304494;8-8553-304485;8-800-2001065;OFFICE@CHULPANMED.RU;ОС № 3957-01;20.01.2017;31.12.2099;01.01.2011;
37;17004;1027806865481;170102001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В РЕСПУБЛИКЕ ТЫВА";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В РЕСПУБЛИКЕ ТЫВА";РЕСПУБЛИКА ТЫВА, Г. КЫЗЫЛ, УЛ. ГОРНАЯ, Д. 104;МОНГУШ;АРСЕН;ДАДАР-ООЛОВИЧ;8-394-2256283;8-394-2256283;8-800-7001078;OMS.KYZYL@KAPMED.RU, ARSEN.MONGUSH@KAPMED.RU;ОС №3676-01;16.11.2018;31.12.2099;07.08.2015;
38;18001;1057746135325;183102001;"ИЖЕВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ВСК-МИЛОСЕРДИЕ""";"ИЖЕВСКИЙ ФИЛИАЛ ООО ""СТРАХОВАЯ КОМПАНИЯ ""ВСК-МИЛОСЕРДИЕ""";УР, ИЖЕВСК, БОРОДИНА, 21;ГОЛЬМАН;ЕЛЕНА;АЛЕКСАНДРОВНА;8-3412-908190;8-3412-908190;8-800-2001441;GOLMAN.IZHEVSK@VSK.RU;ОС 3978-01;15.05.2015;31.12.2999;01.01.2011;
39;18002;1045207042528;183302001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г.ИЖЕВСКЕ";"ФИЛИАЛ ООО ""СК ""ИНГОССТРАХ-М"" В Г.ИЖЕВСКЕ";УР, ИЖЕВСК, 10 ЛЕТ ОКТЯБРЯ, Д.43;ГОРИНА;АЛЕКСАНДРА;ВЛАДИМИРОВНА;8-3412-451522;8-3412-451522;8-800-6002427;ALEKSANDRA.GORINA@INGOS.RU;ОС 3837-01;09.09.2019;31.12.2099;01.01.2011;
40;18003;1027739449913;183102001;"ФИЛИАЛ ""УДМУРТСКИЙ"" АО ""СТРАХОВАЯ ГРУППА"" СПАССКИЕ ВОРОТА-М""";"ФИЛИАЛ ""УДМУРТСКИЙ"" АО СГ ""СПАССКИЕ ВОРОТА-М""";УР, ИЖЕВСК, ПУШКИНСКАЯ, 223, ОФИС 105;ПРИВАЛОВ;АЛЕКСАНДР;АЛЬБЕРТОВИЧ;8-3412-912544;8-3412-912282;8-800-7700799;SV-M.UDM@MAIL.RU;ОС 2354-01;13.04.2020;31.12.2099;01.01.2011;
