ID;S_CODE;NAME;REL;DATEOUT
1146;A01.13.001;Сбор анамнеза и жалоб при микроциркуляторной патологии;1;
1147;A01.13.002;Визуальное исследование при микроциркуляторной патологии;1;
1148;A01.13.003;Пальпация при микроциркуляторной патологии;1;
1149;A01.13.004;Аускультация при микроциркуляторной патологии;1;
1150;A01.14.001;Сбор анамнеза и жалоб при заболеваниях печени и желчевыводящих путей;1;
1151;A01.14.002;Визуальное исследование при заболеваниях печени и желчевыводящих путей;1;
1152;A01.14.003;Пальпация при заболеваниях печени и желчевыводящих путей;1;
1153;A01.14.004;Перкуссия при заболеваниях печени и желчевыводящих путей;1;
1154;A01.15.001;Сбор анамнеза и жалоб при заболеваниях поджелудочной железы;1;
1155;A01.15.002;Визуальное исследование при заболеваниях поджелудочной железы;1;
1156;A01.15.003;Пальпация при заболеваниях поджелудочной железы;1;
1157;A01.15.004;Перкуссия при заболеваниях поджелудочной железы;1;
1158;A01.16.001;Сбор анамнеза и жалоб при заболеваниях пищевода, желудка, двенадцатиперстной кишки;1;
1159;A01.16.002;Визуальное исследование при заболеваниях пищевода, желудка, двенадцатиперстной кишки;1;
1160;A01.16.003;Пальпация при заболеваниях пищевода, желудка, двенадцатиперстной кишки;1;
1161;A01.16.004;Перкуссия при заболеваниях пищевода, желудка, двенадцатиперстной кишки;1;
1162;A01.16.005;Аускультация при заболеваниях пищевода, желудка, двенадцатиперстной кишки;1;
1163;A01.17.001;Сбор анамнеза и жалоб при заболеваниях тонкой кишки;1;
1164;A01.17.002;Визуальное исследование при заболеваниях тонкой кишки;1;
1165;A01.17.003;Пальпация при заболеваниях тонкой кишки;1;
1166;A01.17.004;Перкуссия при заболеваниях тонкой кишки;1;
1167;A01.17.005;Аускультация при заболеваниях тонкой кишки;1;
1168;A01.18.001;Сбор анамнеза и жалоб при заболеваниях толстой кишки;1;
1169;A01.18.002;Визуальное исследование при заболеваниях толстой кишки;1;
1170;A01.18.003;Пальпация при заболеваниях толстой кишки;1;
1171;A01.18.004;Перкуссия при заболеваниях толстой кишки;1;
1172;A01.18.005;Аускультация при заболеваниях толстой кишки;1;
1173;A01.19.001;Сбор анамнеза и жалоб при патологии сигмовидной и прямой кишки;1;
1174;A01.19.002;Визуальное исследование при патологии сигмовидной и прямой кишки;1;
1175;A01.19.003;Пальпация при патологии сигмовидной и прямой кишки;1;
1176;A01.19.004;Трансректальное пальцевое исследование;1;
1177;A01.20.001;Сбор акушерско-гинекологического анамнеза и жалоб;1;
1178;A01.20.002;Визуальный осмотр наружных половых органов;1;
1179;A01.20.003;Бимануальное влагалищное исследование;1;
1180;A01.21.001;Сбор анамнеза и жалоб при патологии мужских половых органов;1;
1181;A01.21.002;Визуальное исследование при патологии мужских половых органов;1;
1182;A01.21.003;Пальпация при патологии мужских половых органов;1;
1183;A01.22.001;Сбор анамнеза и жалоб в эндокринологии;1;
1184;A01.22.002;Визуальное исследование в эндокринологии;1;
1185;A01.22.003;Пальпация в эндокринологии;1;
1186;A01.23.001;Сбор анамнеза и жалоб при патологии центральной нервной системы и головного мозга;1;
1187;A01.23.002;Визуальное исследование при патологии центральной нервной системы и головного мозга;1;
1188;A01.23.003;Пальпация при патологии центральной нервной системы и головного мозга;1;
1189;A01.23.004;Исследование чувствительной и двигательной сферы при патологии центральной нервной системы и головного мозга;1;
1190;A01.24.001;Сбор анамнеза и жалоб при патологии периферической нервной системы;1;
1191;A01.24.002;Визуальное исследование при патологии периферической нервной системы;1;
1192;A01.24.003;Пальпация при патологии периферической нервной системы;1;
1193;A01.24.004;Исследование чувствительной и двигательной сферы при патологии периферической нервной системы;1;
1194;A01.25.001;Сбор анамнеза и жалоб при патологии органа слуха;1;
1195;A01.25.002;Визуальное исследование при патологии органа слуха;1;
1196;A01.25.003;Пальпация при патологии органа слуха;1;
1197;A01.25.004;Перкуссия при патологии органа слуха;1;
1198;A01.26.001;Сбор анамнеза и жалоб при патологии глаза;1;
1199;A01.26.002;Визуальное исследование глаз;1;
1200;A01.26.003;Пальпация при патологии глаз;1;
1201;A01.27.001;Сбор анамнеза и жалоб при патологии органа обоняния;1;
1202;A01.27.002;Визуальное исследование при патологии органа обоняния;1;
1203;A01.27.003;Пальпация при патологии органа обоняния;1;
1204;A01.27.004;Перкуссия при патологии органа обоняния;1;
1205;A01.28.001;Сбор анамнеза и жалоб при патологии почек и мочевыделительной системы;1;
1206;A01.28.002;Визуальное исследование при патологии почек и мочевыделительной системы;1;
1207;A01.28.003;Пальпация при патологии почек и мочевыделительной системы;1;
1208;A01.28.004;Перкуссия при патологии почек и мочевыделительной системы;1;
1209;A01.29.001;Сбор жалоб и анамнеза (объективный и субъективный) в психиатрии;1;
1210;A01.29.002;Визуальное исследование в психиатрии;1;
1211;A01.29.003;Пальпация в психиатрии;1;
1212;A01.30.001;Сбор анамнеза и жалоб при инфекционном заболевании;1;
1213;A01.30.002;Визуальное исследование при инфекционном заболевании;1;
1214;A01.30.003;Пальпация при инфекционном заболевании;1;
1215;A01.30.004;Перкуссия при инфекционном заболевании;1;
1216;A01.30.005;Аускультация при инфекционном заболевании;1;
1217;A01.30.006;Оценка состояния новорожденного по шкале Апгар;1;
1218;A01.30.007;Пальпация плода;1;
1219;A01.30.008;Оценка гестационного возраста новорожденного по шкале Балорда;1;
1220;A01.30.009;Сбор анамнеза и жалоб терапевтический;1;
1221;A01.30.010;Визуальный осмотр терапевтический;1;
1222;A01.30.011;Пальпация терапевтическая;1;
1223;A01.30.012;Аускультация терапевтическая;1;
1224;A01.30.013;Сбор анамнеза и жалоб при генетическом консультировании;1;
1225;A01.30.014;Визуальное исследование при генетическом консультировании;1;
1226;A01.30.015;Составление родословной;1;
1227;A01.30.016;Перкуссия терапевтическая;1;
1228;A01.30.017;Сбор анамнеза и жалоб при патологии брюшной стенки;1;
1229;A01.30.018;Визуальный осмотр при патологии брюшной стенки;1;
1230;A01.30.019;Пальпация при патологии брюшной стенки;1;
1231;A01.30.020;Перкуссия при патологии брюшной стенки;1;
1232;A01.30.021;Аускультация при патологии брюшной стенки;1;
1233;A01.30.022;Определение площади ожога;1;
1234;A01.30.023;Сбор спортивного анамнеза;1;
1235;A01.30.024;Составление заключения о физическом развитии;1;
1236;A01.30.025;Соматоскопия;1;
1237;A01.30.025.001;Определение формы спины;1;
1238;A01.30.025.002;Определение формы грудной клетки;1;
1239;A01.30.025.003;Определение формы ног;1;
1240;A01.30.025.004;Определение телосложения;1;
1241;A02.01.001;Измерение массы тела;1;
1242;A02.01.002;Аускультация в дерматологии;1;
1243;A02.01.003;Определение сальности кожи;1;
1244;A02.01.004;Измерение толщины кожной складки (пликометрия);1;
1245;A02.01.005;Проведение йодной пробы;1;
1246;A02.01.006;Люминесцентная диагностика (осмотр под лампой Вуда);1;
1247;A02.01.007;Линейное измерение дефекта кожи;1;
1248;A02.01.008;Исследование карманов при дефектах кожных покровов с помощью зонда;1;
1249;A02.01.009;Измерение толщины подкожно-жировой клетчатки (калиперметрия);0;01.01.2018
1250;A02.02.001;Измерение силы мышц спины;1;
1251;A02.02.002;Измерение силы мышц живота;1;
1252;A02.02.003;Измерение силы мышц кисти;1;
1253;A02.02.004;Определение статической силы одной мышцы;1;
1254;A02.02.005;Определение динамической силы одной мышцы;1;
1255;A02.02.006;Определение динамического концентрического усилия одной мышцы;1;
1256;A02.02.007;Определение динамического эксцентрического усилия одной мышцы;1;
1257;A02.02.008;Определение динамического изокинетического усилия одной мышцы;1;
1258;A02.03.001;Линейное измерение костей;1;
1259;A02.03.002;Измерение окружности головы;1;
1260;A02.03.003;"Плантография (получения графического ""отпечатка"" подошвенной поверхности стопы)";1;
1261;A02.03.004;Осанкометрия;1;
1262;A02.03.005;Измерение роста;1;
1263;A02.03.006;Измерение подвижности позвоночника;1;
1264;A02.03.007;Измерение основных анатомических окружностей;1;
1265;A02.03.007.001;Определение окружности шеи;1;
1266;A02.03.007.002;Определение окружности плеча;1;
1267;A02.03.007.003;Определение окружности предплечья;1;
1268;A02.03.007.004;Определение окружности талии;1;
1269;A02.03.007.005;Определение окружности живота;1;
1270;A02.03.007.006;Определение окружности бедра;1;
1271;A02.03.007.007;Определение окружности голени;1;
1272;A02.03.007.008;Определение плечевого диаметра;1;
1273;A02.03.007.009;Определение тазо-гребневого диаметра;1;
1274;A02.04.001;Линейное измерение сустава;1;
1275;A02.04.002;Измерение объема сустава;1;
1276;A02.04.003;Измерение подвижности сустава (углометрия);1;
1277;A02.04.003.001;Определение объема пассивного движения одного сустава в одной плоскости;1;
1278;A02.04.003.002;Определение объема активного движения одного сустава в одной плоскости;1;
1279;A02.04.004;Аускультация сустава;1;
1280;A02.06.001;Измерение объема лимфоузлов;1;
1281;A02.07.001;Осмотр полости рта с помощью дополнительных инструментов;1;
1282;A02.07.002;Исследование кариозных полостей с использованием стоматологического зонда;1;
1283;A02.07.003;Исследование зубодесневых карманов с помощью пародонтологического зонда;1;
1284;A02.07.004;Антропометрические исследования;1;
1285;A02.07.005;Термодиагностика зуба;1;
1286;A02.07.006;Определение прикуса;1;
1287;A02.07.007;Перкуссия зубов;1;
1288;A02.07.008;Определение степени патологической подвижности зубов;1;
1289;A02.07.009;Одонтопародонтограмма;1;
1290;A02.07.010;Исследование на диагностических моделях челюстей;1;
1291;A02.07.011;Аксиография верхне-нижнего челюстного сустава;1;
1292;A02.07.012;Функциография при патологии зубо-челюстной системы;1;
1293;A02.07.013;Функциональные жевательные пробы;1;
1294;A02.07.014;Гнатодинамометрия;1;
1295;A02.08.001;Осмотр верхних дыхательных путей с использованием дополнительных источников света, шпателя и зеркал;1;
1296;A02.08.002;Исследование дыхательной и обонятельной функции (ольфактометрия);1;
1297;A02.09.001;Измерение частоты дыхания;1;
1298;A02.09.002;Измерение окружности грудной клетки;1;
1299;A02.09.002.001;Определение экскурсии грудной клетки;1;
1300;A02.09.003;Определение поперечного диаметра грудной клетки;1;
1301;A02.09.004;Определение передне-заднего диаметра грудной клетки;1;
1302;A02.10.001;Линейные измерения сердца;1;
1303;A02.10.002;Измерение частоты сердцебиения;1;
1304;A02.12.001;Исследование пульса;1;
1305;A02.12.001.001;Исследование пульса методом мониторирования;1;
1306;A02.12.002;Измерение артериального давления на периферических артериях;1;
1307;A02.12.002.001;Суточное мониторирование артериального давления;1;
1308;A02.12.003;Измерение центрального венозного давления;1;
1309;A02.20.001;Осмотр шейки матки в зеркалах;1;
1310;A02.20.002;Измерение базальной температуры;1;
1311;A02.20.003;Исследование кристаллизации слизи шеечного канала;1;
1312;A02.20.004;Измерение размеров таза;1;
1313;A02.25.001;Осмотр органа слуха (отоскопия);1;
1314;A02.25.001.001;Видеоотоскопия;1;
1315;A02.26.001;Исследование переднего сегмента глаза методом бокового освещения;1;
1316;A02.26.002;Исследование сред глаза в проходящем свете;1;
1317;A02.26.003;Офтальмоскопия;1;
1318;A02.26.004;Визометрия;1;
1319;A02.26.005;Периметрия статическая;1;
1320;A02.26.006;Кампиметрия;1;
1321;A02.26.007;Механофосфен;1;
1322;A02.26.008;Скотометрия (тест Амслера-Маринчева);1;
1323;A02.26.009;Исследование цветоощущения;1;
1324;A02.26.010;Измерение угла косоглазия;1;
1325;A02.26.011;Исследование диплопии;1;
1326;A02.26.012;Пупилометрия;1;
1327;A02.26.013;Определение рефракции с помощью набора пробных линз;1;
1328;A02.26.014;Скиаскопия;1;
1329;A02.26.015;Офтальмотонометрия;1;
1330;A02.26.016;Кератоэстезиометрия;1;
1331;A02.26.017;Определение дефектов поверхности роговицы;1;
1332;A02.26.018;Флюоресцеиновая инстилляционная проба;1;
1333;A02.26.019;Канальцевая проба (носовая проба, слезно-носовая проба);1;
1334;A02.26.020;Тест Ширмера;1;
1335;A02.26.021;Диафаноскопия глаза;1;
1336;A02.26.022;Экзофтальмометрия;1;
1337;A02.26.023;Исследование аккомодации;1;
1338;A02.26.024;Определение характера зрения, гетерофории;1;
1339;A02.26.025;Измерение диаметра роговицы;1;
1340;A02.26.026;Исследование конвергенции;1;
1341;A02.26.027;Исследование критической частоты слияния световых мельканий;1;
1342;A02.28.001;Калибровка уретры;1;
1343;A02.30.001;Термометрия общая;1;
1344;A02.30.002;Аускультация плода с помощью стетоскопа;1;
1345;A02.30.003;Цефалометрия;1;
1346;A02.30.004;Исследование плаценты послеродовое;1;
1347;A02.30.005;Ортостатическая проба;1;
1348;A02.30.006;Клиностатическая проба;1;
1349;A03.01.001;Осмотр кожи под увеличением (дерматоскопия);1;
1350;A03.01.002;Осмотр кожи через стекло при надавливании (витропрессия);1;
1351;A03.03.001;Топография позвоночника компьютерная оптическая;1;
1352;A03.04.001;Артроскопия диагностическая;1;
1353;A03.07.001;Люминесцентная стоматоскопия;1;
1354;A03.07.002;Транслюминесцентная стоматоскопия;1;
1355;A03.07.003;Диагностика состояния зубочелюстной системы с помощью методов и средств лучевой визуализации;0;01.01.2018
1356;A03.08.001;Ларингоскопия;1;
1357;A03.08.001.001;Видеоларингоскопия;1;
1358;A03.08.001.002;Ларингоскопия с использованием стробоскопа;1;
1359;A03.08.002;Фарингоскопия;1;
1360;A03.08.002.001;Эпифарингоскопия;1;
1361;A03.08.003;Эзофагоскопия;1;
1362;A03.08.004;Риноскопия;1;
1363;A03.08.004.001;Эндоскопическая эндоназальная ревизия полости носа, носоглотки;1;
1364;A03.08.004.002;Эндоскопическая эндоназальная ревизия околоносовых пазух;1;
1365;A03.08.004.003;Видеориноскопия;1;
1366;A03.08.005;Фиброларингоскопия;1;
1367;A03.08.005.001;Хромоларингоскопия;1;
1368;A03.08.005.002;Аутофлюоресцентная ларингоскопия;1;
1369;A03.08.005.003;Микроларингоскопия;1;
1370;A03.08.006;Синусоскопия;1;
1371;A03.09.001;Бронхоскопия;1;
1372;A03.09.001.001;Бронхоскопия жестким бронхоскопом рентгенохирургическая;1;
1373;A03.09.001.002;Бронхоскопия аутофлюоресцентная;1;
1374;A03.09.002;Трахеоскопия;1;
1375;A03.10.001;Торакоскопия;1;
1376;A03.10.002;Кардиоскопия;1;
1377;A03.11.001;Медиастиноскопия;1;
1378;A03.13.001;Биомикроскопия сосудов;1;
1379;A03.13.002;Капилляроскопия;1;
1380;A03.14.001;Диагностическая лапароскопия;0;01.01.2018
1381;A03.14.001.001;Диагностическая лапароскопия флюоресцентная;0;01.01.2018
1382;A03.14.002;Холедохоскопия;1;
1383;A03.15.001;Лапароскопия с осмотром поджелудочной железы;1;
1384;A03.16.001;Эзофагогастродуоденоскопия;1;
1385;A03.16.001.001;Эзофагогастродуоденоскопия с электрокоагуляцией кровоточащего сосуда;1;
1386;A03.16.001.002;Эзофагогастродуоденоскопия со стимуляцией желчеотделения;1;
1387;A03.16.001.003;Эзофагогастродуоденоскопия флюоресцентная;1;
1388;A03.16.002;Установка назоинтестинального зонда;1;
1389;A03.17.001;Эзофагогастроинтестиноскопия;1;
1390;A03.18.001;Колоноскопия;1;
1391;A03.18.001.001;Видеоколоноскопия;1;
1392;A03.18.001.002;Увеличительное эндоскопическое исследование слизистой толстой кишки;0;01.01.2018
1393;A03.18.001.003;Конфокальное микроэндоскопическое исследование слизистой толстой кишки;0;01.01.2018
1394;A03.18.001.004;Эндосонография толстой кишки;1;
1395;A03.18.001.005;Аутофлюоресцентное эндоскопическое исследование слизистой толстой кишки;0;01.01.2018
1396;A03.18.002;Эндоскопическая резекция слизистой толстой кишки;1;
1397;A03.18.003;Эндопротезирование толстой кишки;1;
1398;A03.19.001;Аноскопия;1;
1399;A03.19.002;Ректороманоскопия;1;
1400;A03.19.003;Сигмоскопия;1;
1401;A03.20.001;Кольпоскопия;1;
1402;A03.20.002;Фертилоскопия;1;
1403;A03.20.003;Гистероскопия;1;
1404;A03.20.003.001;Гистерорезектоскопия;1;
1405;A03.20.003.002;Контрастная эхогистеросальпингоскопия;1;
1406;A03.20.004;Вагиноскопия;1;
1407;A03.20.005;Вульвоскопия;1;
1408;A03.21.001;Диафаноскопия;1;
1409;A03.25.001;Вестибулометрия;1;
1410;A03.25.002;Проведение калорической пробы;1;
1411;A03.25.003;Исследование органа слуха с помощью камертона;1;
1412;A03.25.004;Определение проходимости евстахиевой трубы;1;
1413;A03.26.001;Биомикроскопия глаза;1;
1414;A03.26.002;Гониоскопия;1;
1415;A03.26.003;Осмотр периферии глазного дна с использованием трехзеркальной линзы Гольдмана;1;
1416;A03.26.004;Офтальмохромоскопия;1;
1417;A03.26.005;Биомикрофотография глаза и его придаточного аппарата;1;
1418;A03.26.005.001;Биомикрофотография глазного дна с использованием фундус-камеры;1;
1419;A03.26.006;Флюоресцентная ангиография глаза;1;
1420;A03.26.007;Определение ретинальной остроты зрения;1;
1421;A03.26.008;Рефрактометрия;1;
1422;A03.26.009;Офтальмометрия;1;
1423;A03.26.010;Определение параметров контактной коррекции;1;
1424;A03.26.011;Кератопахометрия;1;
1425;A03.26.012;Исследование заднего эпителия роговицы;1;
1426;A03.26.013;Адаптометрия;0;01.01.2018
1427;A03.26.014;Аномалоскопия;1;
1428;A03.26.015;Тонография;1;
1429;A03.26.016;Офтальмодинамометрия;1;
1430;A03.26.017;Локализация разрывов, инородных тел сетчатки;1;
1431;A03.26.018;Биомикроскопия глазного дна;1;
1432;A03.26.019;Оптическое исследование сетчатки с помощью компьютерного анализатора;1;
1433;A03.26.019.001;Оптическое исследование переднего отдела глаза с помощью компьютерного анализатора;1;
1434;A03.26.019.002;Оптическое исследование заднего отдела глаза с помощью компьютерного анализатора;1;
1435;A03.26.019.003;Оптическое исследование головки зрительного нерва и слоя нервных волокон с помощью компьютерного анализатора;1;
1436;A03.26.020;Компьютерная периметрия;1;
1437;A03.28.001;Цистоскопия;1;
1438;A03.28.001.001;Цистоскопия с моделированием устья мочеточника;1;
1439;A03.28.001.002;Цистоскопия с рассечением устья мочеточника;1;
1440;A03.28.002;Уретроскопия;1;
1441;A03.28.003;Уретероскопия;1;
1442;A03.28.004;Пиелоскопия;1;
1443;A03.30.002;Капсульная эндоскопия;0;01.01.2018
1444;A03.30.003;Видеоэндоскопическая колпачковая резекция слизистой желудочно-кишечного тракта;1;
1445;A03.30.004;Видеоэндоскопическая петлевая резекция слизистой желудочно-кишечного тракта;1;
1446;A03.30.005;Видеоэндоскопическое лигирование основания малигнизированного полипа;1;
1447;A03.30.006;Эндоскопическое исследование внутренних органов;1;
1448;A03.30.006.001;Узкоспектральное эндоскопическое исследование гортани, трахеи и бронхов;1;
1449;A03.30.006.002;Увеличительное эндоскопическое исследование слизистой органов желудочно-кишечного тракта;1;
1450;A03.30.006.003;Конфокальное микроэндоскопическое исследование слизистой органов желудочно-кишечного тракта;1;
1451;A03.30.006.004;Аутофлюоресцентное эндоскопическое исследование органов желудочно-кишечного тракта;1;
1452;A03.30.006.005;Конфокальное микроэндоскопическое исследование слизистой гортани, трахеи и бронхов;1;
1453;A03.30.006.006;Узкоспектральное NBI-исследование органов желудочно-кишечного тракта;1;
1454;A03.30.006.007;Эндоскопическое исследование органов желудочно-кишечного тракта в режиме интеллектуального цветового выделения (FICE);1;
1455;A03.30.007;Хромоскопия, контрастное исследование органов желудочно-кишечного тракта;1;
1456;A04.01.001;Ультразвуковое исследование мягких тканей (одна анатомическая зона);1;
1457;A04.01.002;Ультразвуковое исследование кожи (одна анатомическая зона);1;
1458;A04.03.001;Ультразвуковое исследование костей;1;
1459;A04.03.002;Ультразвуковое исследование позвоночника;1;
1460;A04.03.003;Ультразвуковая денситометрия;1;
1461;A04.04.001;Ультразвуковое исследование сустава;1;
1462;A04.06.001;Ультразвуковое исследование селезенки;1;
1463;A04.06.002;Ультразвуковое исследование лимфатических узлов (одна анатомическая зона);1;
1464;A04.06.003;Ультразвуковое исследование вилочковой железы;1;
1465;A04.07.001;Ультразвуковая денситометрия зуба;1;
1466;A04.07.002;Ультразвуковое исследование слюнных желез;1;
1467;A04.07.003;Ультразвуковое исследование тканей полости рта;1;
1468;A04.07.004;Ультразвуковое исследование языка;1;
1469;A04.08.001;Ультразвуковое исследование околоносовых пазух;1;
1470;A04.08.002;Ультразвуковое исследование гортани;1;
1471;A04.09.001;Ультразвуковое исследование плевральной полости;1;
1472;A04.09.002;Ультразвуковое исследование легких;1;
1473;A04.09.003;Эндосонографическое исследование трахеи и бронхов;1;
1474;A04.10.001;Фонокардиография;1;
1475;A04.10.002;Эхокардиография;1;
1476;A04.10.002.001;Эхокардиография чреспищеводная;1;
1477;A04.10.002.002;Эхокардиография трехмерная;1;
1478;A04.10.002.003;Эхокардиография с фармакологической нагрузкой;1;
1479;A04.10.002.004;Эхокардиография с физической нагрузкой;1;
1480;A04.11.001;Ультразвуковое исследование средостения;1;
1481;A04.11.002;Ультразвуковое исследование интраоперационное;1;
1482;A04.12.001;Ультразвуковая допплерография артерий верхних конечностей;1;
1483;A04.12.001.001;Ультразвуковая допплерография артерий нижних конечностей;1;
1484;A04.12.001.002;Дуплексное сканирование артерий почек;1;
1485;A04.12.001.003;Ультразвуковая допплерография с медикаментозной пробой;1;
1486;A04.12.001.004;Ультразвуковая допплеграфия артерий методом мониторирования;1;
1487;A04.12.001.005;Ультразвуковая допплерография транскраниальная с медикаментозной пробой;1;
1488;A04.12.001.006;Ультразвуковая допплерография транскраниальная артерий методом мониторирования;1;
1489;A04.12.001.007;Ультразвуковая допплерография транскраниальная артерий методом мониторирования методом микроэмболодетекции;1;
1490;A04.12.001.008;Ультразвуковая доплеровская локация газовых пузырьков;1;
1491;A04.12.002;Ультразвуковая допплерография сосудов (артерий и вен) верхних конечностей;1;
1492;A04.12.002.001;Ультразвуковая допплерография сосудов (артерий и вен) нижних конечностей;1;
1493;A04.12.002.002;Ультразвуковая допплерография вен нижних конечностей;1;
1494;A04.12.002.003;Ультразвуковая допплерография вен верхних конечностей;1;
1495;A04.12.003;Дуплексное сканирование аорты;1;
1496;A04.12.004;Внутрисосудистое ультразвуковое исследование сосудистой стенки;1;
1497;A04.12.005;Дуплексное сканирование сосудов (артерий и вен) верхних конечностей;1;
1498;A04.12.005.001;Дуплексное сканирование артерий нижних конечностей;0;01.01.2018
1499;A04.12.005.002;Дуплексное сканирование артерий верхних конечностей;1;
1500;A04.12.005.003;Дуплексное сканирование брахиоцефальных артерий с цветным допплеровским картированием кровотока;1;
1501;A04.12.006;Дуплексное сканирование сосудов (артерий и вен) нижних конечностей;1;
1502;A04.12.007;Ультразвуковая допплерография сосудов глаза;1;
1503;A04.12.008;Дуплексное сканирование сосудов мошонки и полового члена;1;
1504;A04.12.009;Дуплексное сканирование сосудов челюстно-лицевой области;1;
1505;A04.12.010;Лазерная допплеровская флоуметрия сосудов челюстно-лицевой области;1;
1506;A04.12.011;Дуплексное сканирование сосудов поджелудочной железы;1;
1507;A04.12.012;Дуплексное сканирование сосудов печени;1;
1508;A04.12.013;Дуплексное сканирование коронарных сосудов;1;
1509;A04.12.014;Дуплексное сканирование сосудов гепатобиллиарной зоны;1;
1510;A04.12.015;Триплексное сканирование вен;1;
1511;A04.12.016;Исследование ночной пенильной тумесценции;1;
1512;A04.12.017;Дуплексное сканирование сосудов щитовидной железы;1;
1513;A04.12.018;Дуплексное сканирование транскраниальное артерий и вен;1;
1514;A04.12.019;Дуплексное сканирование транскраниальное артерий и вен с нагрузочными пробами;1;
1515;A04.14.001;Ультразвуковое исследование печени;1;
1516;A04.14.001.001;Ультразвуковое исследование печени интраоперационное;1;
1517;A04.14.001.002;Ультразвуковое исследование печени лапароскопическое;1;
1518;A04.14.001.003;Ультразвуковое исследование гепатобиллиарной зоны;1;
1519;A04.14.001.004;Ультразвуковое исследование гепатобиллиарной зоны с функциональными пробами;1;
1520;A04.14.002;Ультразвуковое исследование желчного пузыря и протоков;1;
1521;A04.14.002.001;Ультразвуковое исследование желчного пузыря с определением его сократимости;1;
1522;A04.15.001;Ультразвуковое исследование поджелудочной железы;1;
